iter	Passed	Remaining
0	113	113875
1	150	75141
2	190	63412
3	229	57161
4	265	52737
5	300	49777
6	340	48345
7	385	47832
8	438	48237
9	475	47059
10	514	46268
11	551	45376
12	597	45358
13	641	45159
14	679	44652
15	715	44000
16	750	43422
17	786	42908
18	833	43049
19	879	43113
20	928	43308
21	972	43229
22	1013	43040
23	1073	43638
24	1117	43586
25	1155	43273
26	1192	42985
27	1236	42936
28	1279	42849
29	1316	42559
30	1355	42356
31	1391	42100
32	1430	41910
33	1482	42124
34	1517	41837
35	1555	41654
36	1592	41459
37	1627	41207
38	1673	41246
39	1714	41136
40	1752	40988
41	1789	40819
42	1828	40696
43	1874	40730
44	1912	40596
45	1940	40252
46	1977	40090
47	2013	39931
48	2059	39974
49	2087	39666
50	2124	39524
51	2160	39388
52	2184	39035
53	2231	39090
54	2284	39250
55	2333	39334
56	2383	39438
57	2441	39655
58	2498	39847
59	2550	39957
60	2586	39812
61	2622	39674
62	2669	39705
63	2709	39624
64	2747	39527
65	2787	39450
66	2842	39581
67	2878	39452
68	2922	39427
69	2965	39401
70	3005	39320
71	3044	39240
72	3098	39340
73	3141	39312
74	3181	39240
75	3218	39125
76	3266	39149
77	3321	39256
78	3369	39280
79	3408	39193
80	3443	39070
81	3491	39086
82	3532	39031
83	3571	38947
84	3614	38910
85	3662	38929
86	3712	38956
87	3754	38911
88	3799	38892
89	3858	39013
90	3900	38958
91	3944	38933
92	3996	38971
93	4049	39034
94	4098	39042
95	4154	39124
96	4215	39247
97	4257	39188
98	4301	39145
99	4354	39187
100	4393	39108
101	4436	39056
102	4477	38996
103	4526	38999
104	4567	38930
105	4605	38843
106	4646	38779
107	4692	38759
108	4729	38662
109	4767	38577
110	4792	38383
111	4834	38326
112	4873	38258
113	4927	38293
114	4975	38287
115	5020	38259
116	5058	38179
117	5096	38095
118	5145	38095
119	5194	38089
120	5247	38122
121	5294	38103
122	5333	38024
123	5384	38036
124	5408	37861
125	5447	37783
126	5482	37689
127	5521	37615
128	5550	37475
129	5591	37421
130	5647	37462
131	5689	37409
132	5709	37218
133	5749	37160
134	5794	37125
135	5831	37046
136	5868	36966
137	5906	36892
138	5952	36874
139	5993	36819
140	6029	36731
141	6066	36653
142	6104	36586
143	6141	36505
144	6183	36459
145	6220	36388
146	6257	36308
147	6298	36256
148	6350	36272
149	6390	36213
150	6430	36157
151	6468	36086
152	6510	36039
153	6555	36011
154	6605	36010
155	6643	35943
156	6681	35878
157	6729	35861
158	6778	35855
159	6819	35804
160	6860	35751
161	6902	35705
162	6949	35684
163	6993	35650
164	7033	35592
165	7071	35527
166	7095	35394
167	7124	35285
168	7171	35263
169	7216	35231
170	7255	35175
171	7297	35128
172	7341	35093
173	7382	35046
174	7426	35012
175	7467	34960
176	7496	34855
177	7532	34786
178	7577	34756
179	7618	34707
180	7656	34644
181	7692	34571
182	7736	34539
183	7782	34515
184	7826	34477
185	7872	34454
186	7914	34408
187	7952	34347
188	7998	34320
189	8042	34285
190	8079	34220
191	8118	34165
192	8155	34099
193	8201	34073
194	8248	34050
195	8288	34000
196	8327	33942
197	8367	33893
198	8410	33855
199	8453	33812
200	8483	33721
201	8510	33620
202	8550	33569
203	8595	33539
204	8638	33499
205	8676	33440
206	8694	33308
207	8744	33294
208	8792	33278
209	8840	33258
210	8881	33209
211	8925	33174
212	8975	33162
213	9024	33146
214	9062	33090
215	9100	33033
216	9154	33032
217	9204	33018
218	9241	32955
219	9279	32899
220	9320	32853
221	9367	32829
222	9411	32792
223	9457	32763
224	9495	32705
225	9532	32646
226	9571	32593
227	9619	32569
228	9667	32549
229	9704	32489
230	9743	32434
231	9784	32388
232	9838	32386
233	9884	32356
234	9915	32279
235	9955	32228
236	10005	32213
237	10032	32122
238	10073	32075
239	10110	32015
240	10149	31964
241	10185	31904
242	10216	31827
243	10258	31784
244	10300	31743
245	10324	31646
246	10363	31595
247	10405	31553
248	10454	31530
249	10502	31506
250	10541	31455
251	10579	31403
252	10629	31383
253	10675	31352
254	10721	31324
255	10758	31267
256	10798	31218
257	10844	31188
258	10887	31148
259	10929	31107
260	10969	31058
261	11007	31006
262	11045	30952
263	11090	30917
264	11134	30882
265	11174	30835
266	11213	30785
267	11263	30763
268	11307	30728
269	11348	30684
270	11385	30626
271	11420	30566
272	11455	30507
273	11503	30480
274	11535	30412
275	11589	30401
276	11626	30345
277	11675	30323
278	11717	30279
279	11756	30230
280	11794	30178
281	11830	30120
282	11864	30060
283	11910	30027
284	11950	29981
285	11988	29930
286	12024	29873
287	12060	29816
288	12098	29764
289	12140	29723
290	12169	29649
291	12205	29594
292	12242	29540
293	12290	29513
294	12332	29473
295	12371	29425
296	12408	29371
297	12445	29317
298	12488	29278
299	12530	29238
300	12568	29187
301	12605	29133
302	12654	29109
303	12699	29074
304	12736	29023
305	12773	28970
306	12800	28895
307	12836	28839
308	12878	28799
309	12920	28759
310	12958	28707
311	12995	28655
312	13031	28601
313	13073	28562
314	13111	28511
315	13147	28458
316	13184	28406
317	13220	28353
318	13264	28316
319	13305	28274
320	13341	28221
321	13377	28167
322	13414	28117
323	13472	28108
324	13521	28082
325	13565	28045
326	13608	28008
327	13653	27972
328	13703	27949
329	13745	27907
330	13785	27862
331	13833	27833
332	13889	27821
333	13931	27780
334	13971	27733
335	14021	27709
336	14069	27679
337	14111	27639
338	14152	27595
339	14201	27568
340	14244	27527
341	14287	27488
342	14326	27441
343	14374	27411
344	14425	27386
345	14467	27346
346	14509	27304
347	14547	27255
348	14594	27223
349	14643	27194
350	14685	27152
351	14733	27123
352	14751	27037
353	14799	27006
354	14844	26971
355	14888	26932
356	14930	26892
357	14971	26847
358	15015	26811
359	15060	26774
360	15103	26733
361	15139	26681
362	15176	26631
363	15212	26580
364	15242	26517
365	15287	26481
366	15326	26434
367	15364	26387
368	15403	26340
369	15458	26320
370	15504	26286
371	15543	26239
372	15582	26193
373	15630	26162
374	15674	26123
375	15713	26077
376	15749	26026
377	15786	25977
378	15830	25938
379	15873	25898
380	15911	25851
381	15947	25799
382	15985	25751
383	16029	25713
384	16072	25674
385	16108	25623
386	16147	25577
387	16186	25530
388	16235	25501
389	16277	25460
390	16313	25408
391	16351	25361
392	16394	25322
393	16435	25279
394	16477	25237
395	16517	25192
396	16553	25143
397	16592	25096
398	16634	25055
399	16678	25017
400	16702	24949
401	16725	24880
402	16752	24817
403	16799	24783
404	16841	24742
405	16881	24699
406	16918	24650
407	16957	24604
408	17002	24568
409	17032	24510
410	17073	24468
411	17112	24422
412	17147	24372
413	17184	24324
414	17233	24293
415	17275	24252
416	17311	24203
417	17350	24157
418	17392	24117
419	17438	24082
420	17480	24041
421	17516	23991
422	17554	23945
423	17592	23898
424	17635	23859
425	17680	23823
426	17718	23776
427	17755	23729
428	17795	23685
429	17839	23647
430	17883	23609
431	17918	23559
432	17954	23510
433	17990	23462
434	18017	23402
435	18063	23365
436	18100	23318
437	18137	23272
438	18176	23227
439	18221	23190
440	18265	23153
441	18303	23107
442	18338	23057
443	18384	23022
444	18427	22982
445	18470	22942
446	18494	22879
447	18530	22831
448	18568	22786
449	18616	22753
450	18660	22715
451	18699	22671
452	18737	22625
453	18780	22586
454	18822	22546
455	18865	22506
456	18902	22459
457	18938	22411
458	18976	22366
459	19025	22334
460	19064	22290
461	19101	22243
462	19149	22209
463	19200	22180
464	19242	22139
465	19280	22093
466	19315	22045
467	19353	22000
468	19398	21963
469	19443	21925
470	19479	21878
471	19516	21831
472	19554	21786
473	19603	21754
474	19644	21711
475	19683	21668
476	19719	21621
477	19758	21577
478	19805	21542
479	19847	21501
480	19885	21455
481	19921	21409
482	19959	21364
483	20014	21337
484	20053	21293
485	20090	21247
486	20126	21201
487	20172	21164
488	20219	21128
489	20260	21087
490	20295	21039
491	20333	20994
492	20374	20952
493	20423	20919
494	20463	20876
495	20501	20832
496	20537	20785
497	20584	20749
498	20632	20714
499	20672	20672
500	20709	20626
501	20748	20583
502	20796	20548
503	20838	20507
504	20919	20505
505	20990	20492
506	21033	20452
507	21074	20411
508	21126	20379
509	21177	20347
510	21226	20312
511	21272	20275
512	21314	20233
513	21349	20186
514	21399	20152
515	21443	20113
516	21483	20070
517	21521	20026
518	21559	19980
519	21596	19934
520	21638	19894
521	21686	19858
522	21723	19812
523	21760	19767
524	21798	19722
525	21851	19691
526	21892	19649
527	21929	19603
528	21964	19556
529	22011	19519
530	22053	19478
531	22094	19436
532	22133	19392
533	22175	19351
534	22210	19304
535	22255	19265
536	22300	19227
537	22338	19183
538	22374	19136
539	22412	19092
540	22456	19052
541	22498	19011
542	22540	18970
543	22577	18925
544	22615	18880
545	22663	18844
546	22708	18805
547	22747	18762
548	22785	18718
549	22831	18680
550	22870	18636
551	22914	18596
552	22951	18552
553	22989	18507
554	23025	18461
555	23069	18422
556	23116	18385
557	23153	18340
558	23189	18294
559	23227	18250
560	23271	18211
561	23322	18176
562	23368	18138
563	23416	18102
564	23461	18063
565	23504	18023
566	23551	17985
567	23597	17947
568	23643	17908
569	23690	17871
570	23735	17832
571	23780	17793
572	23831	17758
573	23884	17726
574	23934	17690
575	23975	17648
576	24030	17616
577	24078	17580
578	24124	17541
579	24166	17500
580	24211	17460
581	24265	17427
582	24305	17384
583	24346	17342
584	24392	17303
585	24436	17264
586	24484	17226
587	24522	17182
588	24561	17139
589	24608	17100
590	24660	17066
591	24707	17028
592	24749	16986
593	24787	16941
594	24839	16907
595	24887	16869
596	24924	16824
597	24962	16781
598	25009	16742
599	25050	16700
600	25094	16660
601	25132	16616
602	25172	16572
603	25215	16532
604	25257	16490
605	25308	16454
606	25346	16410
607	25390	16369
608	25441	16334
609	25490	16297
610	25531	16254
611	25569	16210
612	25604	16164
613	25645	16122
614	25687	16081
615	25733	16041
616	25773	15999
617	25810	15954
618	25846	15908
619	25891	15868
620	25938	15830
621	25975	15786
622	26016	15743
623	26061	15703
624	26105	15663
625	26151	15624
626	26189	15580
627	26226	15535
628	26262	15490
629	26305	15449
630	26347	15407
631	26391	15367
632	26431	15324
633	26467	15279
634	26508	15237
635	26548	15194
636	26596	15156
637	26634	15112
638	26672	15068
639	26714	15026
640	26755	14984
641	26797	14943
642	26837	14900
643	26882	14860
644	26932	14823
645	26987	14788
646	27039	14752
647	27096	14719
648	27145	14681
649	27188	14639
650	27232	14599
651	27270	14555
652	27316	14515
653	27358	14473
654	27399	14432
655	27437	14388
656	27474	14343
657	27516	14301
658	27559	14260
659	27602	14219
660	27643	14177
661	27681	14133
662	27733	14096
663	27772	14053
664	27820	14014
665	27857	13970
666	27896	13927
667	27934	13883
668	27977	13842
669	28017	13799
670	28060	13758
671	28097	13714
672	28147	13676
673	28187	13633
674	28230	13592
675	28270	13549
676	28309	13506
677	28347	13463
678	28390	13421
679	28437	13382
680	28477	13339
681	28516	13296
682	28561	13256
683	28611	13218
684	28656	13177
685	28694	13134
686	28730	13089
687	28776	13049
688	28816	13007
689	28859	12965
690	28899	12923
691	28936	12879
692	28981	12838
693	29029	12799
694	29070	12757
695	29119	12718
696	29154	12674
697	29200	12634
698	29244	12593
699	29287	12551
700	29324	12507
701	29363	12464
702	29406	12423
703	29460	12386
704	29498	12343
705	29535	12299
706	29574	12256
707	29623	12217
708	29667	12176
709	29705	12133
710	29743	12089
711	29789	12049
712	29837	12010
713	29883	11970
714	29921	11926
715	29959	11883
716	30001	11841
717	30051	11802
718	30097	11762
719	30137	11720
720	30176	11677
721	30225	11637
722	30269	11596
723	30310	11554
724	30351	11512
725	30388	11468
726	30430	11427
727	30470	11384
728	30514	11343
729	30555	11301
730	30590	11257
731	30626	11213
732	30671	11172
733	30717	11131
734	30759	11090
735	30797	11046
736	30839	11005
737	30880	10963
738	30921	10920
739	30966	10880
740	31003	10836
741	31043	10794
742	31085	10752
743	31130	10711
744	31174	10670
745	31212	10627
746	31250	10584
747	31293	10542
748	31336	10501
749	31379	10459
750	31416	10416
751	31458	10374
